ASCII码表在线查询(1.0 beta 1)

输入一个待查字符:    

ASCII码对照表

下表列出了字符集中的 0 - 127。

代码	字符	代码	字符	代码	字符	代码	字符
0	 	32	[空格]	64	@	96	`
1	 	33	!	65	A	97	a
2	 	34	"	66	B	98	b
3	 	35	#	67	C	99	c
4	 	36	$	68	D	100	d
5	 	37	%	69	E	101	e
6	 	38	&	70	F	102	f
7	 	39	'	71	G	103	g
8	**	40	(	72	H	104	h
9	**	41	)	73	I	105	i
10	**	42	*	74	J	106	j
11	 	43	+	75	K	107	k
12	 	44	,	76	L	108	l
13	**	45	-	77	M	109	m
14	 	46	.	78	N	110	n
15	?	47	/	79	O	111	o
16	?	48	0	80	P	112	p
17	?	49	1	81	Q	113	q
18	?	50	2	82	R	114	r
19		51	3	83	S	115	s
20		52	4	84	T	116	t
21		53	5	85	U	117	u
22	?	54	6	86	V	118	v
23	?	55	7	87	W	119	w
24	?	56	8	88	X	120	x
25	?	57	9	89	Y	121	y
26	?	58	:	90	Z	122	z
27		59	;	91	[	123	{
28	?	60	<	92	\	124	|
29	?	61	=	93	]	125	}
30	-	62	>	94	^	126	~
31	 	63	?	95	_	127	?
下表列出了字符集中的 128 - 255。

代码	字符	代码	字符	代码	字符	代码	字符
128	€	160	[空格]	192	à	224	à
129	?	161	?	193	á	225	á
130	?	162	￠	194	?	226	a
131	?	163	￡	195	?	227	?
132	?	164	¤	196	?	228	?
133	…	165	￥	197	?	229	?
134	?	166	|	198	?	230	?
135	?	167	§	199	?	231	?
136	?	168	¨	200	è	231	?
137	‰	169	?	201	é	232	è
138	?	170	a	202	ê	233	é
139	?	171	?	203	?	234	ê
140	?	172	?	204	ì	235	?
141	?	173		205	í	236	ì
142	?	174	?	206	?	237	í
143	?	175	ˉ	207	?	238	?
144	?	176	°	208	D	239	?
145	‘	177	±	209	?	240	e
146	’	178	2	210	ò	241	?
147	“	179	3	211	ó	242	ò
148	”	180	′	212	?	243	ó
149	?	181	μ	213	?	244	?
150	–	182	?	214	?	245	?
151	—	183	·	215	×	246	?
152	?	184	?	216	?	247	÷
153	?	185	1	217	ù	248	?
154	?	186	o	218	ú	249	ù
155	?	187	?	219	?	250	ú
156	?	188	?	220	ü	251	?
157	?	189	?	221	Y	252	ü
158	?	190	?	222	T	253	y
159	?	191	?	223	?	254	t
** 数值 8、9、10 和 13 可以分别转换为退格符、制表符、换行符和回车符。这些字符都没有图形表示，但是对于不同的应用程序，这些字符可能会影响文本的显示效果。

"空" 表示在当前平台上不支持的字符。
